train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,,,,,,,,,,
camel-farsec-train.csv,wicketcamel-farsec-test.csv,logistic_regression,398,1,5,96,16.7,19.4,27.6,,,,,,,,,,,
ambari-farsec-train.csv,wicketambari-farsec-test.csv,ib_k,481,0,6,13,0.0,2.6,0.0,,,,,,,,,,,
ambari-farsec-train.csv,wicketambari-farsec-test.csv,multilayer_perceptron,456,0,6,38,0.0,7.7,0.0,,,,,,,,,,,
camel-farsec-train.csv,wicketcamel-farsec-test.csv,random_forest,491,0,6,3,0.0,0.6,0.0,,,,,,,,,,,
camel-farsec-train.csv,wicketcamel-farsec-test.csv,ib_k,488,0,6,6,0.0,1.2,0.0,,,,,,,,,,,
chromium-farsec-train.csv,wicketchromium-farsec-test.csv,random_forest,491,0,6,3,0.0,0.6,0.0,,,,,,,,,,,
chromium-farsec-train.csv,wicketchromium-farsec-test.csv,ib_k,487,0,6,7,0.0,1.4,0.0,,,,,,,,,,,
chromium-farsec-train.csv,wicketchromium-farsec-test.csv,multilayer_perceptron,480,0,6,14,0.0,2.8,0.0,,,,,,,,,,,
derby-farsec-train.csv,wicketderby-farsec-test.csv,naive_bayes,438,0,6,56,0.0,11.3,0.0,,,,,,,,,,,
derby-farsec-train.csv,wicketderby-farsec-test.csv,random_forest,483,0,6,11,0.0,2.2,0.0,,,,,,,,,,,
derby-farsec-train.csv,wicketderby-farsec-test.csv,ib_k,486,0,6,8,0.0,1.6,0.0,,,,,,,,,,,
