train,test,learner,tn,tp,fn,fp,pd,pf,g-measure,,Target,Source,Top results,,,,,,,,,,pd-tpp,pd-tppx,pf-tpp,pf-tppx,g-measure-tpp,g-measure-tppx
wicketderby-cross-train.csv,wicketderby-cross-test.csv,logistic_regression,459,1,5,35,16.7,7.1,28.3,,,,,,,,,,,,,,,,,,,
wicketcamel-cross-train.csv,wicketcamel-cross-test.csv,naive_bayes,457,1,5,37,16.7,7.5,28.2,,,,,,,,,,,,,,,,,,,
wicketchromium-cross-train.csv,wicketchromium-cross-test.csv,naive_bayes,443,1,5,51,16.7,10.3,28.1,,,,,,,,,,,,,,,,,,,
wicketambari-cross-train.csv,wicketambari-cross-test.csv,logistic_regression,414,1,5,80,16.7,16.2,27.8,,,,,,,,,,,,,,,,,,,
wicketchromium-cross-train.csv,wicketchromium-cross-test.csv,logistic_regression,3,6,0,491,100.0,99.4,1.2,,,,,,,,,,,,,,,,,,,
wicketambari-cross-train.csv,wicketambari-cross-test.csv,random_forest,494,0,6,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
wicketambari-cross-train.csv,wicketambari-cross-test.csv,ib_k,490,0,6,4,0.0,0.8,0.0,,,,,,,,,,,,,,,,,,,
wicketambari-cross-train.csv,wicketambari-cross-test.csv,multilayer_perceptron,466,0,6,28,0.0,5.7,0.0,,,,,,,,,,,,,,,,,,,
wicketcamel-cross-train.csv,wicketcamel-cross-test.csv,logistic_regression,462,0,6,32,0.0,6.5,0.0,,,,,,,,,,,,,,,,,,,
wicketcamel-cross-train.csv,wicketcamel-cross-test.csv,random_forest,494,0,6,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
wicketcamel-cross-train.csv,wicketcamel-cross-test.csv,ib_k,492,0,6,2,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,
wicketcamel-cross-train.csv,wicketcamel-cross-test.csv,multilayer_perceptron,491,0,6,3,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,
wicketchromium-cross-train.csv,wicketchromium-cross-test.csv,random_forest,494,0,6,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
wicketchromium-cross-train.csv,wicketchromium-cross-test.csv,ib_k,494,0,6,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
wicketchromium-cross-train.csv,wicketchromium-cross-test.csv,multilayer_perceptron,492,0,6,2,0.0,0.4,0.0,,,,,,,,,,,,,,,,,,,
wicketderby-cross-train.csv,wicketderby-cross-test.csv,naive_bayes,470,0,6,24,0.0,4.9,0.0,,,,,,,,,,,,,,,,,,,
wicketderby-cross-train.csv,wicketderby-cross-test.csv,random_forest,491,0,6,3,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,
wicketderby-cross-train.csv,wicketderby-cross-test.csv,multilayer_perceptron,485,0,6,9,0.0,1.8,0.0,,,,,,,,,,,,,,,,,,,
